"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","ACT","Glass","Glass","Type","C&D","Landfill","Disposal",8,"02 C&D"
"2018-2019","ACT","Glass","Glass","Type","C&I","Landfill","Disposal",2127,"03 C&I core"
"2018-2019","ACT","Glass","Glass","Type","MSW","Landfill","Disposal",4392,"01 MSW"
"2018-2019","ACT","Glass","Glass","Type","Total","Landfill","Disposal",6527,"08 Total"
"2018-2019","ACT","Glass","Glass","Type","Total","Recycling","Recycling",13444,"08 Total"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",25979,"02 C&D"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&D","Other disposal","Disposal",13,"02 C&D"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&D","Recycling","Recycling",13,"02 C&D"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&D","Treatment","Unknown",10,"02 C&D"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",22130,"03 C&I core"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&I","Other disposal","Disposal",11,"03 C&I core"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&I","Recycling","Recycling",11,"03 C&I core"
"2018-2019","ACT","Hazardous","Asbestos","Type","C&I","Treatment","Unknown",9,"03 C&I core"
"2018-2019","ACT","Hazardous","Asbestos","Type","Total","Landfill","Disposal",48110,"08 Total"
"2018-2019","ACT","Hazardous","Asbestos","Type","Total","Other disposal","Disposal",24,"08 Total"
"2018-2019","ACT","Hazardous","Asbestos","Type","Total","Recycling","Recycling",24,"08 Total"
"2018-2019","ACT","Hazardous","Asbestos","Type","Total","Treatment","Unknown",19,"08 Total"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","C&I","Landfill","Disposal",13,"03 C&I core"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",79,"03 C&I core"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",40,"03 C&I core"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","Total","Landfill","Disposal",13,"08 Total"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",79,"08 Total"
"2018-2019","ACT","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",40,"08 Total"
"2018-2019","ACT","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",10,"02 C&D"
"2018-2019","ACT","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",1,"02 C&D"
"2018-2019","ACT","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",4,"03 C&I core"
"2018-2019","ACT","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",13,"08 Total"
"2018-2019","ACT","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",104,"03 C&I core"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",4349,"03 C&I core"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",609,"03 C&I core"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",104,"08 Total"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",4349,"08 Total"
"2018-2019","ACT","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",609,"08 Total"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",49,"03 C&I core"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",176,"03 C&I core"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",124,"03 C&I core"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",49,"08 Total"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",176,"08 Total"
"2018-2019","ACT","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",124,"08 Total"
"2018-2019","ACT","Hazardous","Oils","Type","C&I","Landfill","Disposal",66,"03 C&I core"
"2018-2019","ACT","Hazardous","Oils","Type","C&I","Other disposal","Disposal",2,"03 C&I core"
"2018-2019","ACT","Hazardous","Oils","Type","C&I","Recycling","Recycling",496,"03 C&I core"
"2018-2019","ACT","Hazardous","Oils","Type","C&I","Treatment","Unknown",552,"03 C&I core"
"2018-2019","ACT","Hazardous","Oils","Type","Total","Landfill","Disposal",66,"08 Total"
"2018-2019","ACT","Hazardous","Oils","Type","Total","Other disposal","Disposal",2,"08 Total"
"2018-2019","ACT","Hazardous","Oils","Type","Total","Recycling","Recycling",496,"08 Total"
"2018-2019","ACT","Hazardous","Oils","Type","Total","Treatment","Unknown",552,"08 Total"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","C&I","Landfill","Disposal",3,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",4,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",12,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","Total","Landfill","Disposal",3,"08 Total"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",4,"08 Total"
"2018-2019","ACT","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",12,"08 Total"
"2018-2019","ACT","Hazardous","Organic solvents","Type","C&I","Landfill","Disposal",1,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",2,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",3,"03 C&I core"
"2018-2019","ACT","Hazardous","Organic solvents","Type","Total","Landfill","Disposal",1,"08 Total"
"2018-2019","ACT","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",2,"08 Total"
"2018-2019","ACT","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",3,"08 Total"
"2018-2019","ACT","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",1,"03 C&I core"
"2018-2019","ACT","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",1,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",21,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",11,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",15,"03 C&I core"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",21,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",11,"08 Total"
"2018-2019","ACT","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",15,"08 Total"
