,Year,Jurisdiction,Category,Type,Stream,Management,Fate,Tonnes
0,2018,ACT,Glass,Glass,C&D,Landfill,Disposal,8
1,2018,ACT,Glass,Glass,C&I,Landfill,Disposal,2127
2,2018,ACT,Glass,Glass,MSW,Landfill,Disposal,4392
3,2018,ACT,Glass,Glass,Total,Landfill,Disposal,6527
4,2018,ACT,Glass,Glass,Total,Recycling,Recycling,13444
5,2018,ACT,Hazardous,Asbestos,C&D,Landfill,Disposal,25979
6,2018,ACT,Hazardous,Asbestos,C&D,Other disposal,Disposal,13
7,2018,ACT,Hazardous,Asbestos,C&D,Recycling,Recycling,13
8,2018,ACT,Hazardous,Asbestos,C&D,Treatment,Unknown,10
9,2018,ACT,Hazardous,Asbestos,C&I,Landfill,Disposal,22130
10,2018,ACT,Hazardous,Asbestos,C&I,Other disposal,Disposal,11
11,2018,ACT,Hazardous,Asbestos,C&I,Recycling,Recycling,11
12,2018,ACT,Hazardous,Asbestos,C&I,Treatment,Unknown,9
13,2018,ACT,Hazardous,Asbestos,Total,Landfill,Disposal,48110
14,2018,ACT,Hazardous,Asbestos,Total,Other disposal,Disposal,24
15,2018,ACT,Hazardous,Asbestos,Total,Recycling,Recycling,24
16,2018,ACT,Hazardous,Asbestos,Total,Treatment,Unknown,19
17,2018,ACT,Hazardous,Clinical & pharmaceutical,C&I,Landfill,Disposal,13
18,2018,ACT,Hazardous,Clinical & pharmaceutical,C&I,Other disposal,Disposal,79
19,2018,ACT,Hazardous,Clinical & pharmaceutical,C&I,Treatment,Unknown,40
20,2018,ACT,Hazardous,Clinical & pharmaceutical,Total,Landfill,Disposal,13
21,2018,ACT,Hazardous,Clinical & pharmaceutical,Total,Other disposal,Disposal,79
22,2018,ACT,Hazardous,Clinical & pharmaceutical,Total,Treatment,Unknown,40
23,2018,ACT,Hazardous,Contaminated soils,C&D,Landfill,Disposal,10
24,2018,ACT,Hazardous,Contaminated soils,C&D,Treatment,Unknown,1
25,2018,ACT,Hazardous,Contaminated soils,C&I,Landfill,Disposal,4
26,2018,ACT,Hazardous,Contaminated soils,Total,Landfill,Disposal,13
27,2018,ACT,Hazardous,Contaminated soils,Total,Treatment,Unknown,1
28,2018,ACT,Hazardous,Food-derived hazardous wastes,C&I,Landfill,Disposal,104
29,2018,ACT,Hazardous,Food-derived hazardous wastes,C&I,Recycling,Recycling,4349
30,2018,ACT,Hazardous,Food-derived hazardous wastes,C&I,Treatment,Unknown,609
31,2018,ACT,Hazardous,Food-derived hazardous wastes,Total,Landfill,Disposal,104
32,2018,ACT,Hazardous,Food-derived hazardous wastes,Total,Recycling,Recycling,4349
33,2018,ACT,Hazardous,Food-derived hazardous wastes,Total,Treatment,Unknown,609
34,2018,ACT,Hazardous,Inorganic chemicals,C&I,Landfill,Disposal,49
35,2018,ACT,Hazardous,Inorganic chemicals,C&I,Recycling,Recycling,176
36,2018,ACT,Hazardous,Inorganic chemicals,C&I,Treatment,Unknown,124
37,2018,ACT,Hazardous,Inorganic chemicals,Total,Landfill,Disposal,49
38,2018,ACT,Hazardous,Inorganic chemicals,Total,Recycling,Recycling,176
39,2018,ACT,Hazardous,Inorganic chemicals,Total,Treatment,Unknown,124
40,2018,ACT,Hazardous,Oils,C&I,Landfill,Disposal,66
41,2018,ACT,Hazardous,Oils,C&I,Other disposal,Disposal,2
42,2018,ACT,Hazardous,Oils,C&I,Recycling,Recycling,496
43,2018,ACT,Hazardous,Oils,C&I,Treatment,Unknown,552
44,2018,ACT,Hazardous,Oils,Total,Landfill,Disposal,66
45,2018,ACT,Hazardous,Oils,Total,Other disposal,Disposal,2
46,2018,ACT,Hazardous,Oils,Total,Recycling,Recycling,496
47,2018,ACT,Hazardous,Oils,Total,Treatment,Unknown,552
48,2018,ACT,Hazardous,Organic chemicals,C&I,Landfill,Disposal,3
49,2018,ACT,Hazardous,Organic chemicals,C&I,Recycling,Recycling,4
50,2018,ACT,Hazardous,Organic chemicals,C&I,Treatment,Unknown,12
51,2018,ACT,Hazardous,Organic chemicals,Total,Landfill,Disposal,3
52,2018,ACT,Hazardous,Organic chemicals,Total,Recycling,Recycling,4
53,2018,ACT,Hazardous,Organic chemicals,Total,Treatment,Unknown,12
54,2018,ACT,Hazardous,Organic solvents,C&I,Landfill,Disposal,1
55,2018,ACT,Hazardous,Organic solvents,C&I,Recycling,Recycling,2
56,2018,ACT,Hazardous,Organic solvents,C&I,Treatment,Unknown,3
57,2018,ACT,Hazardous,Organic solvents,Total,Landfill,Disposal,1
58,2018,ACT,Hazardous,Organic solvents,Total,Recycling,Recycling,2
59,2018,ACT,Hazardous,Organic solvents,Total,Treatment,Unknown,3
60,2018,ACT,Hazardous,Other miscellaneous,C&I,Treatment,Unknown,1
61,2018,ACT,Hazardous,Other miscellaneous,Total,Treatment,Unknown,1
62,2018,ACT,Hazardous,Other soil/sludges,C&I,Landfill,Disposal,21
63,2018,ACT,Hazardous,Other soil/sludges,C&I,Recycling,Recycling,11
64,2018,ACT,Hazardous,Other soil/sludges,C&I,Treatment,Unknown,15
65,2018,ACT,Hazardous,Other soil/sludges,Total,Landfill,Disposal,21
66,2018,ACT,Hazardous,Other soil/sludges,Total,Recycling,Recycling,11
67,2018,ACT,Hazardous,Other soil/sludges,Total,Treatment,Unknown,15
68,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",C&I,Landfill,Disposal,11
69,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",C&I,Recycling,Recycling,2
70,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",C&I,Treatment,Unknown,1
71,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",Total,Landfill,Disposal,11
72,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",Total,Recycling,Recycling,2
73,2018,ACT,Hazardous,"Paints, resins, inks, organic sludges",Total,Treatment,Unknown,1
74,2018,ACT,Hazardous,Tyres,C&I,Energy from waste facility,Energy recovery,3781
75,2018,ACT,Hazardous,Tyres,C&I,Landfill,Disposal,1960
76,2018,ACT,Hazardous,Tyres,C&I,Other disposal,Disposal,140
77,2018,ACT,Hazardous,Tyres,C&I,Recycling,Recycling,1680
78,2018,ACT,Hazardous,Tyres,Total,Energy from waste facility,Energy recovery,3781
79,2018,ACT,Hazardous,Tyres,Total,Landfill,Disposal,1960
80,2018,ACT,Hazardous,Tyres,Total,Other disposal,Disposal,140
81,2018,ACT,Hazardous,Tyres,Total,Recycling,Recycling,1680
82,2018,ACT,Masonry materials,Asphalt,Total,Recycling,Recycling,12009
83,2018,ACT,Masonry materials,Bricks,Total,Recycling,Recycling,25098
84,2018,ACT,Masonry materials,Concrete,C&D,Landfill,Disposal,422
85,2018,ACT,Masonry materials,Concrete,C&I,Landfill,Disposal,755
86,2018,ACT,Masonry materials,Concrete,Total,Landfill,Disposal,1177
87,2018,ACT,Masonry materials,Concrete,Total,Recycling,Recycling,115469
88,2018,ACT,Masonry materials,Plasterboard & cement sheeting,C&D,Landfill,Disposal,7323
89,2018,ACT,Masonry materials,Plasterboard & cement sheeting,C&I,Landfill,Disposal,9861
90,2018,ACT,Masonry materials,Plasterboard & cement sheeting,Total,Landfill,Disposal,17185
91,2018,ACT,Metals,Aluminium,MSW,Landfill,Disposal,734
92,2018,ACT,Metals,Aluminium,Total,Landfill,Disposal,734
93,2018,ACT,Metals,Aluminium,Total,Recycling,Recycling,1187
94,2018,ACT,Metals,Steel,Total,Recycling,Recycling,30834
95,2018,ACT,Organics,Food organics,C&I,Landfill,Disposal,9335
96,2018,ACT,Organics,Food organics,C&I,Landfill,Energy recovery,7100
97,2018,ACT,Organics,Food organics,MSW,Landfill,Disposal,20402
98,2018,ACT,Organics,Food organics,MSW,Landfill,Energy recovery,15518
99,2018,ACT,Organics,Food organics,Total,Landfill,Disposal,29737
100,2018,ACT,Organics,Food organics,Total,Landfill,Energy recovery,22618
101,2018,ACT,Organics,Garden organics,C&D,Landfill,Disposal,124
102,2018,ACT,Organics,Garden organics,C&D,Landfill,Energy recovery,40
